SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.1F48J.2926	80	0	18	2	2	63	5	29	75	33	1911	0	3	1	270	861	2	55	0	79	134	16	3	17	92	751	0	0	67	19	15	80
GTEX.1F52S.3226	5	267	191	36	2	122	70	63	86	59	1	183	71	67	55	13	80	119	1	218	82	85	2	62	5	95	103	15	5	533	40	23
GTEX.1F6I4.3226	1	2	1	5	0	127	10	45	19	3	7	269	44	0	86	0	0	11	3	42	91	10	0	35	0	8	0	18	6	3	51	3
GTEX.1F6IF.2926	15	72	12	7	19	261	51	126	328	690	979	490	11	54	513	752	14	107	2	758	78	90	0	27	6	359	48	61	69	133	6	334
GTEX.1F75B.3126	5	27	0	0	0	203	11	36	142	116	284	343	1	0	96	1217	134	3	2	213	97	51	13	53	142	82	2	118	34	13	11	21
GTEX.1F7RK.1726	189	3	0	0	6	105	62	133	334	45	107	2	36	107	1023	2761	24	18	5	54	34	105	27	28	25	453	0	23	851	24	81	13
GTEX.1F88E.2926	18	136	2	1	119	72	115	145	260	253	228	361	3	160	388	1359	113	4	2	8	191	125	1	25	114	130	30	18	26	1	33	13
GTEX.1F88F.3226	216	185	746	39	74	377	111	42	34	196	98	112	34	105	78	37	18	291	15	198	172	134	9	53	20	441	46	21	18	176	29	284
GTEX.1GF9V.3126	294	257	18	69	39	82	151	86	98	78	8	30	11	211	35	12	201	42	56	6	38	155	148	35	53	10	160	49	140	4	57	24
GTEX.1GF9W.2826	363	480	237	46	149	186	411	156	6	195	16	131	142	136	13	6	109	405	265	261	241	238	1342	24	71	34	150	16	60	83	152	30
GTEX.1GMR8.3126	29	25	195	119	9	418	98	51	86	706	7	355	78	18	120	35	615	61	55	136	83	45	235	40	213	34	302	46	9	333	84	77
GTEX.1GMRU.3126	155	435	83	111	45	193	155	73	178	153	91	14	97	147	70	181	61	260	0	679	199	249	1	24	13	117	364	15	8	498	17	37
GTEX.1GN1U.3226	43	47	18	33	0	164	44	49	9	89	101	298	51	0	145	240	73	42	40	190	212	15	119	26	56	108	85	51	227	41	80	33
GTEX.1GN1V.3026	5	0	9	31	0	101	81	101	123	93	311	0	12	9	200	614	9	313	0	49	33	35	1	9	0	296	0	1	45	85	24	43
GTEX.1GN2E.2926	36	87	77	617	217	162	245	222	56	40	6	94	339	736	172	0	2	785	67	181	173	282	0	157	0	264	275	146	3	697	99	0
GTEX.1GN73.2926	44	43	66	4	7	363	166	74	284	159	2548	750	11	81	67	15	6	377	9	599	158	70	18	45	19	662	52	136	186	18	56	790
GTEX.1GPI6.2126	134	45	70	129	4	87	109	81	7	223	1	0	215	108	23	7	198	53	306	31	11	51	327	6	16	4	6	4	18	123	167	3
GTEX.1GTWX.3126	127	83	4	46	55	138	245	176	13	155	143	144	73	261	225	51	249	70	188	99	194	120	507	28	187	53	13	26	769	8	253	96
GTEX.1GZ2Q.3126	2	3	1	12	1	104	40	1	24	8	0	0	240	0	1	1	2	4	265	6	6	14	48	8	0	1	8	3	43	5	215	0
GTEX.1GZ4I.3126	31	27	28	46	0	58	1	112	2	143	53	3	135	0	204	66	30	59	92	33	36	1	31	8	13	41	8	0	352	27	119	43
GTEX.1GZHY.3226	16	73	1	14	10	390	80	125	6	11	500	1024	6	25	492	127	0	31	8	193	1823	104	2	212	0	244	10	28	95	26	18	0
GTEX.1H23P.3026	4	48	0	3	0	88	41	109	2	50	125	235	11	1	44	136	3	1	53	22	153	16	11	30	10	93	3	0	393	0	60	40
GTEX.1H3NZ.3126	25	147	10	3	205	33	206	298	50	22	0	213	0	127	1	7	76	0	43	0	179	152	46	65	604	8	865	65	47	0	37	249
GTEX.1H3O1.1626	6	2	2	6	40	176	182	199	0	59	3	0	88	41	48	4	46	5	333	14	74	79	479	24	34	3	0	33	228	0	374	28
GTEX.1H3VE.2626	32	57	285	17	0	83	26	30	10	382	182	172	20	3	29	184	615	73	81	47	38	15	152	36	352	127	29	17	68	21	82	674
GTEX.1H4P4.2626	0	0	1	221	0	72	49	15	3	5	0	0	486	0	10	0	0	103	9	56	0	19	0	2	0	4	0	1	0	99	141	0
GTEX.1HB9E.3026	32	102	45	79	38	374	111	60	6	127	292	56	139	34	128	137	11	19	19	361	56	64	44	85	41	359	9	24	374	256	186	125
GTEX.1HBPH.3226	10	463	0	0	16	376	238	127	155	54	611	796	8	108	316	318	5	8	7	274	458	166	12	56	33	194	20	63	179	0	116	308
GTEX.1HCU6.3226	1	442	30	178	2	122	237	306	5	9	221	577	76	81	317	1	0	189	23	69	215	103	56	48	0	177	320	3	128	96	158	0
GTEX.1HFI6.2926	30	37	0	165	33	125	223	198	24	86	29	106	175	109	1067	226	256	11	82	35	273	111	288	25	150	173	38	5	798	56	436	26
GTEX.1HGF4.2926	8	0	22	7	0	42	3	13	2	64	18	0	90	0	49	3	35	21	173	9	4	0	286	4	18	10	0	1	156	10	140	40
GTEX.1HR98.3126	3	170	0	0	2	109	76	76	10	27	48	104	19	23	138	264	43	0	45	7	56	56	165	3	41	26	0	2	624	2	69	0
GTEX.1HR9M.2926	123	0	159	12	2	179	144	82	136	553	62	0	11	101	19	89	1200	30	92	439	482	165	294	30	563	13	0	29	125	95	36	257
GTEX.1HSKV.3126	226	755	1	2	6	475	244	190	404	282	2922	620	1	246	200	684	150	111	9	405	489	170	308	142	456	433	221	288	603	17	13	1067
GTEX.1HSMO.3126	0	47	0	0	0	215	59	262	73	58	59	744	1	1	513	249	0	1	0	16	490	29	0	169	0	94	52	21	87	0	86	0
GTEX.1HT8W.3126	16	17	0	2	1	137	122	49	206	38	18	77	73	13	452	492	73	1	11	10	84	20	150	34	99	31	0	83	564	5	213	0
GTEX.1I19N.3126	83	24	378	90	0	45	14	67	5	136	4	1	54	1	42	31	39	35	28	8	2	1	9	1	16	67	27	1	148	68	16	61
GTEX.1I1GP.3126	256	121	13	7	81	131	14	68	5	43	829	206	6	49	149	126	7	99	1	222	58	53	9	107	38	190	42	13	98	19	14	94
GTEX.1I1GQ.3126	2	4	106	3	0	156	25	16	234	129	517	291	5	68	8	49	79	24	76	257	153	58	584	54	137	43	6	173	99	28	15	625
GTEX.1I1GR.3026	0	148	1	52	1	182	346	73	6	18	0	39	29	65	4	0	1	63	33	155	582	79	9	28	2	3	98	17	0	35	73	1
GTEX.1I1GS.3226	1	0	0	3	2	79	225	251	3	16	1	0	68	49	120	12	15	0	91	4	51	54	174	28	17	6	0	135	362	1	832	0
GTEX.1I1GV.2926	122	234	467	117	56	232	295	261	41	145	5	111	81	244	15	3	206	143	115	173	116	142	207	41	141	52	309	72	41	1148	70	137
GTEX.1I1HK.2626	0	95	0	5	137	96	203	86	24	0	682	333	2	419	132	2	0	8	0	90	253	251	0	80	0	322	343	380	0	19	2	0
GTEX.1ICLZ.2926	0	4	3	6	1	238	146	208	2	26	603	53	28	12	469	18	1	0	41	108	132	63	0	11	0	221	3	8	85	51	126	1
GTEX.1IDFM.2926	8	211	7	9	23	139	75	227	83	587	143	92	62	1	162	349	346	1	67	285	20	40	16	15	11	11	230	10	76	125	83	28
GTEX.1IDJH.2926	71	2	45	8	4	127	59	176	35	50	230	2	17	134	57	107	42	412	32	36	176	142	247	32	325	135	0	10	109	23	68	372
GTEX.1IGQW.2926	109	178	37	19	0	52	29	67	3	191	0	20	64	6	4	12	345	19	567	24	5	14	655	6	35	0	10	2	47	13	105	23
GTEX.1IKJJ.3126	157	1030	496	691	2	398	270	165	46	253	12	220	261	220	78	19	42	804	354	130	150	84	102	46	32	127	258	74	198	192	153	405
GTEX.1IKK5.2826	1	33	4	21	6	170	353	67	10	39	6	191	22	276	26	10	90	8	112	49	1963	127	172	204	294	32	5	497	94	16	37	18
GTEX.1IKOH.2926	46	475	80	85	202	613	560	50	587	376	11	413	207	414	64	49	538	70	31	322	407	276	9	142	210	67	238	379	19	118	85	350
GTEX.1IOXB.2926	163	147	440	312	0	153	35	75	7	139	0	144	161	1	6	0	32	405	467	169	174	71	79	42	2	21	32	9	24	237	184	27
GTEX.1IY9M.3226	0	1	0	76	24	76	178	137	0	0	0	0	217	171	0	0	0	0	512	1	21	52	82	65	0	0	0	44	13	6	600	0
GTEX.1J1OQ.3026	304	9	1252	197	3	288	33	88	54	528	10	8	177	100	38	57	138	390	108	256	61	102	56	78	21	45	14	38	69	261	80	244
GTEX.1J8EW.3126	57	213	126	52	11	205	427	169	7	51	0	27	44	94	3	0	13	153	141	36	1104	144	112	64	95	4	46	57	70	10	237	167
GTEX.1JJ6O.2926	140	901	334	30	9	141	56	214	139	414	2	128	23	60	54	22	712	138	167	143	56	61	70	77	1635	133	738	37	104	75	120	707
GTEX.1JJE9.2826	1	134	10	65	64	289	1279	311	7	30	0	95	145	873	9	0	5	87	627	191	761	791	165	208	1	0	41	166	22	50	361	7
GTEX.1JJEA.3026	7	3	129	391	2	154	259	46	2	13	1	0	230	104	7	0	3	341	225	60	60	100	32	8	0	28	0	3	9	139	279	6
GTEX.1JMLX.2826	526	20	623	69	17	181	27	21	10	251	2	9	106	22	2	0	255	408	132	336	10	39	241	33	390	9	47	1	20	135	31	443
GTEX.1JMOU.2626	347	0	75	22	2	64	15	293	91	443	14	0	42	10	232	12	909	499	266	52	23	43	875	66	298	26	0	2	296	11	36	119
GTEX.1JMPZ.2926	649	0	223	237	2	112	0	9	1910	39	48	0	61	0	222	47	0	997	29	47	1	13	5	135	8	378	0	209	384	76	97	53
GTEX.1JMQJ.2926	132	45	63	0	89	228	72	148	157	224	1441	1165	0	74	131	1597	126	9	0	334	41	194	6	41	182	488	99	40	16	82	5	561
GTEX.1JMQK.2826	71	152	26	103	17	440	1330	67	8	136	5	611	235	542	47	3	171	59	209	122	1049	384	448	110	184	12	308	41	58	12	103	91
GTEX.1JMQL.3026	382	299	13	10	1	250	156	187	33	758	262	3	64	9	541	1759	166	66	194	185	157	61	36	144	42	12	3	17	220	49	277	143
GTEX.1JN1M.3326	151	1	41	16	0	16	0	36	4	132	450	0	36	0	131	139	13	243	39	38	7	2	29	3	23	70	0	0	156	8	67	271
GTEX.1JN6P.3226	31	29	6	545	1	211	222	47	17	75	2	0	703	37	254	17	12	46	509	86	67	96	53	13	0	0	0	2	259	147	127	0
GTEX.1KANB.3126	479	4	208	125	20	258	206	96	2	283	55	0	169	329	63	13	233	615	464	107	17	125	531	22	108	94	1	10	46	52	89	299
GTEX.1KD5A.2526	0	365	0	0	28	3	159	75	0	0	0	244	1	175	4	0	0	0	0	0	82	113	0	23	0	0	230	25	0	0	27	0
GTEX.1KWVE.2126	823	0	415	164	0	80	8	25	292	159	7	0	91	0	35	16	149	417	89	107	5	10	23	17	264	111	0	46	66	42	115	260
GTEX.1LB8K.2926	119	5	189	529	2	96	96	66	12	167	105	0	566	87	221	8	15	238	238	229	12	30	6	3	0	17	0	8	118	256	215	71
GTEX.1LG7Y.2926	16	318	6	147	76	112	100	185	5	43	1	70	958	187	197	32	3	14	443	28	62	137	197	87	0	6	545	132	366	108	520	0
GTEX.1LH75.3026	297	18	21	0	1	16	1	109	158	33	5	97	2	0	13	4	61	82	50	1	26	5	44	33	243	51	57	35	63	0	35	588
GTEX.1LKK1.3026	108	470	141	66	44	188	317	66	31	60	244	76	100	155	126	142	1	139	19	26	64	100	0	145	21	1028	86	80	114	145	347	24
GTEX.1LSVX.2626	859	60	415	75	0	59	38	79	103	471	5	27	50	16	18	185	1196	6	189	19	32	12	218	12	569	24	1	11	199	92	99	249
GTEX.1MA7X.2326	314	191	34	83	0	40	33	146	52	83	0	3	102	0	65	38	123	124	34	13	65	55	47	47	137	35	381	1	91	52	39	20
GTEX.1MCQQ.2426	53	1	46	102	42	226	127	44	80	121	465	1	39	236	1016	119	1	1006	2	195	88	162	1	6	0	544	0	25	218	76	24	94
GTEX.1N2EE.2926	579	367	262	286	104	237	165	106	164	109	45	6	77	184	186	41	25	1223	38	67	39	102	4	48	29	966	1068	175	324	267	113	87
GTEX.1N2EF.3026	34	0	15	65	0	49	13	102	0	23	0	0	108	0	7	0	7	64	303	9	0	0	21	4	0	6	0	3	35	9	274	3
GTEX.1N5O9.2826	130	534	610	80	37	476	427	62	224	572	139	47	44	78	106	35	99	819	9	951	413	158	1	82	27	361	261	194	25	812	109	1146
GTEX.1NV5F.3026	11	1	534	42	8	88	177	58	140	1179	12	0	65	233	198	107	1677	37	64	66	27	118	38	19	719	93	0	16	77	200	92	756
GTEX.1NV8Z.2926	369	125	247	50	16	365	241	251	506	888	67	126	116	53	212	511	394	92	133	406	94	50	67	23	105	203	104	49	307	348	134	101
GTEX.1O9I2.2926	73	16	613	105	0	213	96	41	2	658	99	0	82	17	283	39	149	115	195	119	61	95	168	3	13	20	2	1	234	373	48	99
GTEX.1OJC4.3026	218	1	145	148	23	107	258	231	117	415	11	1	311	90	111	68	409	164	258	110	61	128	329	59	108	27	0	8	279	232	157	107
GTEX.1PBJI.2726	4	1	0	14	0	44	4	63	190	14	1953	0	12	0	736	218	1	9	5	119	29	5	1	8	0	123	0	1	78	20	32	3
GTEX.1PIIG.2626	499	26	1355	97	1	100	6	6	6	41	19	177	10	12	1	0	32	476	44	148	33	1	656	135	183	88	29	24	15	422	69	267
GTEX.1POEN.2826	430	157	16	55	0	77	62	139	100	93	5	6	108	0	45	11	36	54	148	37	9	24	170	12	17	98	116	4	220	8	183	40
GTEX.1PPGY.2926	288	0	964	135	1	80	19	54	350	231	476	0	39	0	161	292	33	714	10	315	13	27	0	17	31	310	0	2	131	645	75	408
GTEX.1PWST.2926	86	1	998	460	1	295	146	79	5	64	1	0	87	35	0	0	22	116	536	67	12	26	195	27	18	19	0	23	19	243	183	33
GTEX.1QEPI.2926	0	0	1	105	13	121	150	27	9	2	59	0	143	120	513	0	0	491	0	712	80	103	0	14	0	105	0	16	3	236	49	0
GTEX.1QMI2.3026	6	80	3	137	52	77	120	28	1	47	0	1	318	196	7	0	17	6	361	34	10	74	41	5	0	1	14	4	24	8	246	0
GTEX.1QP6S.3126	150	243	143	212	1	148	89	69	24	78	7	24	324	0	51	2	51	247	270	120	96	8	240	11	5	56	311	5	127	97	236	39
GTEX.1R46S.2926	471	0	191	5	0	72	23	43	52	310	472	0	10	0	92	235	183	197	32	141	29	6	229	13	425	390	0	11	118	15	22	1096
GTEX.1R9K4.2926	23	30	109	79	0	383	16	114	14	468	10	58	94	0	72	53	96	10	35	213	160	6	9	42	45	316	1	17	48	43	101	19
GTEX.1RAZS.2926	123	293	478	158	286	243	195	244	106	1494	53	281	91	181	107	18	992	255	88	744	128	212	82	92	61	13	691	145	50	510	38	291
GTEX.1S5VW.3026	89	132	60	532	18	306	464	128	0	156	16	34	470	114	122	2	44	127	369	287	323	123	41	71	2	65	14	175	87	1431	274	0
